categoryId,video_category,cat_total_views,cat_number_trend_videos,cat_number_channels,cat_total_subs,cat_avg_subs
0,Unknown,141579762776,0,19,308100000,16215789.47368421
1,Film & Animation,492007180389,38,50,1057700000,21154000.0
2,Autos & Vehicles,6530946230,0,1,16700000,16700000.0
10,Music,2906210355935,323,222,5114300000,23037387.387387387
15,Pets & Animals,41101323353,6,6,80400000,13400000.0
17,Sports,120397093342,148,10,259400000,25940000.0
18,Short Movies,0,0,0,0,0.0
19,Travel & Events,2746045885,0,1,12100000,12100000.0
20,Gaming,666609775197,313,102,1901800000,18645098.039215688
21,Videoblogging,0,0,0,0,0.0
22,People & Blogs,902223388183,91,118,2243200000,19010169.491525423
23,Comedy,329552696633,63,63,1123900000,17839682.53968254
24,Entertainment,2065604010577,456,240,4519900000,18832916.666666668
25,News & Politics,238225247927,25,26,455600000,17523076.923076924
26,Howto & Style,187329391542,32,45,783700000,17415555.555555556
27,Education,597608760133,48,45,1064800000,23662222.222222224
28,Science & Technology,61327847554,80,18,300100000,16672222.222222222
29,Nonprofits & Activism,8542547810,0,2,47700000,23850000.0
30,Movies,12839091539,0,2,44300000,22150000.0
31,Anime/Animation,0,0,0,0,0.0
32,Action/Adventure,0,0,0,0,0.0
33,Classics,0,0,0,0,0.0
35,Documentary,0,0,0,0,0.0
36,Drama,0,0,0,0,0.0
37,Family,0,0,0,0,0.0
38,Foreign,0,0,0,0,0.0
39,Horror,0,0,0,0,0.0
40,Sci-Fi/Fantasy,0,0,0,0,0.0
41,Thriller,0,0,0,0,0.0
42,Shorts,0,0,0,0,0.0
43,Shows,383341349652,0,14,481400000,34385714.28571428
44,Trailers,30507515438,0,2,71200000,35600000.0
